List of opcodes
Jump to navigationJump to search
This is a list of all opcodes, including nops and unsupported ones, in GTA III, Vice City, and San Andreas. Brief descriptions and notes are added to the list for quick and easy access to information.

Opcode	Games	P	Parameter type	Brief description	Notes
0000	GTA III Vice City San Andreas	0	nop	no operation	special use in CLEO
0001	GTA III Vice City San Andreas	1	int	wait	
0002	GTA III Vice City San Andreas	1	int	jump to label	
0003	GTA III Vice City San Andreas	1	int	shake camera	
0004	GTA III Vice City San Andreas	2	global var, int	set global to integer (G = I)	
0005	GTA III Vice City San Andreas	2	global var, flt	set global to float (G = F)	
0006	GTA III Vice City San Andreas	2	local var, int	set local to integer (L = I))	
0007	GTA III Vice City San Andreas	2	local var, flt	set local to float (L = F))	
0008	GTA III Vice City San Andreas	2	global var, int	add integer to global (G += I)	
0009	GTA III Vice City San Andreas	2	global var, flt	add float to global (G += F)	
000A	GTA III Vice City San Andreas	2	local var, int	add integer to local (L += I)	
000B	GTA III Vice City San Andreas	2	local var, flt	add float to local (L += F)	
000C	GTA III Vice City San Andreas	2	global var, int	subtract integer from global (G -= I)	
000D	GTA III Vice City San Andreas	2	global var, flt	subtract float from global (G -= F)	
000E	GTA III Vice City San Andreas	2	local var, int	subtract integer from local (L -= I)	
000F	GTA III Vice City San Andreas	2	local var, flt	subtract float from local (L -= F)	
0010	GTA III Vice City San Andreas	2	global var, int	multiply global by integer (G *= I)	
0011	GTA III Vice City San Andreas	2	global var, flt	multiply global by float (G *= F)	
0012	GTA III Vice City San Andreas	2	local var, int	multiply local by integer (L *= I)	
0013	GTA III Vice City San Andreas	2	local var, flt	multiply local by float (L *= F)	
0014	GTA III Vice City San Andreas	2	global var, int	divide global by integer (G /= I)	
0015	GTA III Vice City San Andreas	2	global var, flt	divide global by float (G /= F)	
0016	GTA III Vice City San Andreas	2	local var, int	divide local by integer (L /= I)	
0017	GTA III Vice City San Andreas	2	local var, flt	divide local by float (L /= F)	
0018	GTA III Vice City San Andreas	2	global var, int	check global greater than integer (G > I)	
0019	GTA III Vice City San Andreas	2	local var, int	check local greater than integer (L > I)	
001A	GTA III Vice City San Andreas	2	int, global var	check integer greater than global (I > G)	
001B	GTA III Vice City San Andreas	2	int, local var	check integer greater than local (I > L)	
001C	GTA III Vice City San Andreas	2	global var, global var	check global integer greater than global int (G > G int)	
001D	GTA III Vice City San Andreas	2	local var, local var	check local integer greater than local int (L > L int)	
001E	GTA III Vice City San Andreas	2	global var, local var	check global integer greater than local int (G > L int)	
001F	GTA III Vice City San Andreas	2	local var, global var	check local integer greater than global int (L > G int)	
0020	GTA III Vice City San Andreas	2	global var, flt	check global greater than float (G > F)	
0021	GTA III Vice City San Andreas	2	local var, flt	check local greater than float (L > F)	
0022	GTA III Vice City San Andreas	2	flt, global var	check float greater than global (F > G)	
0023	GTA III Vice City San Andreas	2	flt, local var	check float greater than local (F > L)	
0024	GTA III Vice City San Andreas	2	global var flt, global var flt	check global float greater than global float (G > G flt)	
0025	GTA III Vice City San Andreas	2	local var flt, local var flt	check local float greater than local float (L > L flt)	
0026	GTA III Vice City San Andreas	2	global var flt, local var flt	check global float greater than local float (G > L flt)	
0027	GTA III Vice City San Andreas	2	local var flt, global var flt	check local float greater than global float (L > G flt)	
0028	GTA III Vice City San Andreas	2	global var flt, int	check global greater than or equal to integer (G >= I)	
0029	GTA III Vice City San Andreas	2	local var, int	check local greater than or equal to integer (L >= I)	
002A	GTA III Vice City San Andreas	2	int, global var	check int greater than or equal to global (I >= G)	
002B	GTA III Vice City San Andreas	2	int, local var	check integer greater than or equal to local (I >= L)	
002C	GTA III Vice City San Andreas	2	global var int, global var int	check global integer greater than or equal to global integer (G >= G int)	
002D	GTA III Vice City San Andreas	2	local var int, local var int	check local integer greater than or equal to local integer (L >= L int)	
002E	GTA III Vice City San Andreas	2	global var int, local var int	check global integer greater than or equal to local integer (G >= L int)	
002F	GTA III Vice City San Andreas	2	local var int, global var int	check local integer greater than or equal to local integer (L >= G int)	
0030	GTA III Vice City San Andreas	2	global var, flt	check global greater than or equal to float (G >= F)	
0031	GTA III Vice City San Andreas	2	local var, flt	check local greater than or equal to float (L >= F)	
0032	GTA III Vice City San Andreas	2	flt, global var	check float greater than or equal to global (F >= G)	
0033	GTA III Vice City San Andreas	2	flt, local var	check float greater than or equal to local (F >= L)	
0034	GTA III Vice City San Andreas	2	global var flt, global var flt	check global float greater than or equal to global float (G >= G flt)	
