List of unsupported opcodes
Jump to navigationJump to search
This is a list of opcodes GTA III, Vice City, and San Andreas do not support. Unlike the unused opcodes, you can't use these ones at all as it will lead the game to crash or undesirable effects. Only opcodes that do not appear in all three games will have complete rows.

Opcode	Games	P	Parameter type	Command
003D	GTA III Vice City San Andreas	2	global var int, global var int	IS_INT_VAR_NOT_EQUAL_TO_NUMBER
003E	GTA III Vice City San Andreas	2	local var int, global var int	IS_INT_LVAR_NOT_EQUAL_TO_NUMBER
003F	GTA III Vice City San Andreas	2	global var int, global var int	IS_INT_VAR_NOT_EQUAL_TO_INT_VAR
0040	GTA III Vice City San Andreas	2	local var int, local var int	IS_INT_LVAR_NOT_EQUAL_TO_INT_LVAR
0041	GTA III Vice City San Andreas	2	global var int, local var int	IS_INT_VAR_NOT_EQUAL_TO_INT_LVAR
0047	GTA III Vice City San Andreas	2	global var flt, flt	IS_FLOAT_VAR_NOT_EQUAL_TO_NUMBER
0048	GTA III Vice City San Andreas	2	local var flt, flt	IS_FLOAT_LVAR_NOT_EQUAL_TO_NUMBER
0049	GTA III Vice City San Andreas	2	global var flt, global var flt	IS_FLOAT_VAR_NOT_EQUAL_TO_FLOAT_VAR
004A	GTA III Vice City San Andreas	2	local var flt, local var flt	IS_FLOAT_LVAR_NOT_EQUAL_TO_FLOAT_LVAR
004B	GTA III Vice City San Andreas	2	global var flt, local var flt	IS_FLOAT_VAR_NOT_EQUAL_TO_FLOAT_LVAR
004C	Vice City San Andreas			GOTO_IF_TRUE
0054	San Andreas			GET_PLAYER_COORDINATES
0055	San Andreas			SET_PLAYER_COORDINATES
0056	San Andreas			IS_PLAYER_IN_AREA_2D
0057	San Andreas			IS_PLAYER_IN_AREA_3D
009C	San Andreas			CHAR_WANDER_DIR
009D	GTA III Vice City San Andreas	1	char handle	CHAR_WANDER_RANGE
009E	San Andreas			CHAR_FOLLOW_PATH
009F	San Andreas			CHAR_SET_IDLE
00A2	Vice City San Andreas			IS_CHAR_STILL_ALIVE
00AC	Vice City San Andreas			IS_CAR_STILL_ALIVE
00B2	GTA III Vice City San Andreas	0		SPECIAL_0
00B3	GTA III Vice City San Andreas	0		SPECIAL_1
00B4	GTA III Vice City San Andreas	0		SPECIAL_2
00B5	GTA III Vice City San Andreas	0		SPECIAL_3
00B6	GTA III Vice City San Andreas	0		SPECIAL_4
00B7	GTA III Vice City San Andreas	0		SPECIAL_5
00B8	GTA III Vice City San Andreas	0		SPECIAL_6
00B9	GTA III Vice City San Andreas	0		SPECIAL_7
00BD	Vice City San Andreas			PRINT_SOON
00C5	Vice City San Andreas			RETURN_TRUE
00C6	Vice City San Andreas			RETURN_FALSE
00C7	GTA III Vice City San Andreas	18		VAR_INT
00C8	GTA III Vice City San Andreas	18		VAR_FLOAT
00C9	GTA III Vice City San Andreas	18		LVAR_INT
00CA	GTA III Vice City San Andreas	18		LVAR_FLOAT
00CB	GTA III Vice City San Andreas	0		{
00CC	GTA III Vice City San Andreas	0		}
00CD	GTA III Vice City San Andreas	2	int, var	REPEAT
00CE	GTA III Vice City San Andreas	0		ENDREPEAT
00CF	GTA III Vice City San Andreas	1	int	IF
00D0	GTA III Vice City San Andreas	1	int	IFNOT
00D1	GTA III Vice City San Andreas	0		ELSE
00D2	GTA III Vice City San Andreas	0		ENDIF
00D3	GTA III Vice City San Andreas	1	int	WHILE
00D4	GTA III Vice City San Andreas	1	int	WHILENOT
00D5	GTA III Vice City San Andreas	0		ENDWHILE
00DA	San Andreas			STORE_CAR_PLAYER_IS_IN
00DC	San Andreas			IS_PLAYER_IN_CAR
00DE	San Andreas			IS_PLAYER_IN_MODEL
00E0	San Andreas			IS_PLAYER_IN_ANY_CAR
00E2	Vice City			GET_PAD_STATE
00E3	San Andreas			LOCATE_PLAYER_ANY_MEANS_2D
00E4	San Andreas			LOCATE_PLAYER_ON_FOOT_2D
00E5	San Andreas			LOCATE_PLAYER_IN_CAR_2D
00E6	San Andreas			LOCATE_STOPPED_PLAYER_ANY_MEANS_2D
00E7	San Andreas			LOCATE_STOPPED_PLAYER_ON_FOOT_2D
00E8	San Andreas			LOCATE_STOPPED_PLAYER_IN_CAR_2D
00E9	San Andreas			LOCATE_PLAYER_ANY_MEANS_CHAR_2D
00EA	San Andreas			LOCATE_PLAYER_ON_FOOT_CHAR_2D
00EB	San Andreas			LOCATE_PLAYER_IN_CAR_CHAR_2D
00F5	San Andreas			LOCATE_PLAYER_ANY_MEANS_3D
00F6	San Andreas			LOCATE_PLAYER_ON_FOOT_3D
00F7	San Andreas			LOCATE_PLAYER_IN_CAR_3D
00F8	San Andreas			LOCATE_STOPPED_PLAYER_ANY_MEANS_3D
00F9	San Andreas			LOCATE_STOPPED_PLAYER_ON_FOOT_3D
00FA	San Andreas			LOCATE_STOPPED_PLAYER_IN_CAR_3D
